# h04 expected committed slot state (golden model; BIT-EXACT bar)
# <level hex8> <target hex8> <inc hex8> <static hex8> <ix hex1> <rising hex1> <down hex1>  per command, stream order
00000000 00000000 00000000 00000000 0 0 1
00000000 0f000000 0066e666 00000000 0 1 1
0ab8fffc 0f000000 0066e666 00000000 0 1 1
0d226660 0f000000 0066e666 00000000 0 1 1
0e571992 0f000000 0066e666 00000000 0 1 1
0f000000 0a400000 0003accc 00000000 1 0 1
0efc5334 0a400000 0003accc 00000000 1 0 1
0ef8a668 0a400000 0003accc 00000000 1 0 1
0ef4f99c 0a400000 0003accc 00000000 1 0 1
0ef14cd0 0a400000 0003accc 00000000 1 0 1
0eeda004 0a400000 0003accc 00000000 1 0 1
0ee9f338 0a400000 0003accc 00000000 1 0 1
0ee6466c 0a400000 0003accc 00000000 1 0 1
0ee299a0 0a400000 0003accc 00000000 1 0 1
0edeecd4 0a400000 0003accc 00000000 1 0 1
0edb4008 0a400000 0003accc 00000000 1 0 1
0ed7933c 0a400000 0003accc 00000000 1 0 1
0ed3e670 0a400000 0003accc 00000000 1 0 1
0ed039a4 0a400000 0003accc 00000000 1 0 1
0ecc8cd8 0a400000 0003accc 00000000 1 0 1
0ec8e00c 0a400000 0003accc 00000000 1 0 1
0ec53340 0a400000 0003accc 00000000 1 0 1
0ec18674 0a400000 0003accc 00000000 1 0 1
0ebdd9a8 0a400000 0003accc 00000000 1 0 1
0eba2cdc 0a400000 0003accc 00000000 1 0 1
0eb68010 0a400000 0003accc 00000000 1 0 1
0eb2d344 0a400000 0003accc 00000000 1 0 1
0eaf2678 0a400000 0003accc 00000000 1 0 1
0eab79ac 0a400000 0003accc 00000000 1 0 1
0ea7cce0 0a400000 0003accc 00000000 1 0 1
0ea42014 0a400000 0003accc 00000000 1 0 1
0ea07348 0a400000 0003accc 00000000 1 0 1
0e9cc67c 0a400000 0003accc 00000000 1 0 1
0e9919b0 0a400000 0003accc 00000000 1 0 1
0e956ce4 0a400000 0003accc 00000000 1 0 1
0e91c018 0a400000 0003accc 00000000 1 0 1
0e8e134c 0a400000 0003accc 00000000 1 0 1
0e8a6680 0a400000 0003accc 00000000 1 0 1
0e86b9b4 0a400000 0003accc 00000000 1 0 1
