00000000 00000000 00000000 00000000 0 0 1
00000000 0f000000 0066e666 00000000 0 1 1
00000000 0f000000 0066e666 00000000 0 1 1
0ab8fffc 0f000000 0066e666 00000000 0 1 1
0d226660 0f000000 0066e666 00000000 0 1 1
0e571992 0a400000 0003accc 00000000 1 0 1
0f000000 0a400000 0003accc 00000000 1 0 1
0efc5334 0a400000 0003accc 00000000 1 0 1
0ef8a668 0a400000 0003accc 00000000 1 0 1
0ef4f99c 0a400000 0003accc 00000000 1 0 1
0ef14cd0 0a400000 0003accc 00000000 1 0 1
0eeda004 0a400000 0003accc 00000000 1 0 1
0ee9f338 0a400000 0003accc 00000000 1 0 1
0ee6466c 0a400000 0003accc 00000000 1 0 1
0ee299a0 0a400000 0003accc 00000000 1 0 1
0edeecd4 0a400000 0003accc 00000000 1 0 1
0edb4008 0a400000 0003accc 00000000 1 0 1
0ed7933c 0a400000 0003accc 00000000 1 0 1
0ed3e670 0a400000 0003accc 00000000 1 0 1
0ed039a4 0a400000 0003accc 00000000 1 0 1
0ecc8cd8 0a400000 0003accc 00000000 1 0 1
0ec8e00c 0a400000 0003accc 00000000 1 0 1
0ec53340 0a400000 0003accc 00000000 1 0 1
0ec18674 0a400000 0003accc 00000000 1 0 1
0ebdd9a8 0a400000 0003accc 00000000 1 0 1
0eba2cdc 0a400000 0003accc 00000000 1 0 1
0eb68010 0a400000 0003accc 00000000 1 0 1
0eb2d344 0a400000 0003accc 00000000 1 0 1
0eaf2678 0a400000 0003accc 00000000 1 0 1
0eab79ac 0a400000 0003accc 00000000 1 0 1
0ea7cce0 0a400000 0003accc 00000000 1 0 1
0ea42014 0a400000 0003accc 00000000 1 0 1
0ea07348 0a400000 0003accc 00000000 1 0 1
0e9cc67c 0a400000 0003accc 00000000 1 0 1
0e9919b0 0a400000 0003accc 00000000 1 0 1
0e956ce4 0a400000 0003accc 00000000 1 0 1
0e91c018 0a400000 0003accc 00000000 1 0 1
0e8e134c 0a400000 0003accc 00000000 1 0 1
0e8a6680 0a400000 0003accc 00000000 1 0 1
0e86b9b4 0a400000 0003accc 00000000 1 0 1
0e830ce8 0a400000 0003accc 00000000 1 0 1
0e7f601c 0a400000 0003accc 00000000 1 0 1
0e7bb350 0a400000 0003accc 00000000 1 0 1
0e780684 0a400000 0003accc 00000000 1 0 1
0e7459b8 0a400000 0003accc 00000000 1 0 1
0e70acec 0a400000 0003accc 00000000 1 0 1
0e6d0020 0a400000 0003accc 00000000 1 0 1
0e695354 0a400000 0003accc 00000000 1 0 1
0e65a688 0a400000 0003accc 00000000 1 0 1
0e61f9bc 0a400000 0003accc 00000000 1 0 1
0e5e4cf0 0a400000 0003accc 00000000 1 0 1
0e5aa024 0a400000 0003accc 00000000 1 0 1
0e56f358 0a400000 0003accc 00000000 1 0 1
0e53468c 0a400000 0003accc 00000000 1 0 1
0e4f99c0 0a400000 0003accc 00000000 1 0 1
0e4becf4 0a400000 0003accc 00000000 1 0 1
0e484028 0a400000 0003accc 00000000 1 0 1
0e44935c 0a400000 0003accc 00000000 1 0 1
0e40e690 0a400000 0003accc 00000000 1 0 1
0e3d39c4 0a400000 0003accc 00000000 1 0 1
0e398cf8 0a400000 0003accc 00000000 1 0 1
0e35e02c 0a400000 0003accc 00000000 1 0 1
0e323360 0a400000 0003accc 00000000 1 0 1
0e2e8694 0a400000 0003accc 00000000 1 0 1
0e2ad9c8 0a400000 0003accc 00000000 1 0 1
0e272cfc 0a400000 0003accc 00000000 1 0 1
0e238030 0a400000 0003accc 00000000 1 0 1
0e1fd364 0a400000 0003accc 00000000 1 0 1
0e1c2698 0a400000 0003accc 00000000 1 0 1
0e1879cc 0a400000 0003accc 00000000 1 0 1
0e14cd00 0a400000 0003accc 00000000 1 0 1
0e112034 0a400000 0003accc 00000000 1 0 1
0e0d7368 0a400000 0003accc 00000000 1 0 1
0e09c69c 0a400000 0003accc 00000000 1 0 1
0e0619d0 0a400000 0003accc 00000000 1 0 1
0e026d04 0a400000 0003accc 00000000 1 0 1
0dfec038 0a400000 0003accc 00000000 1 0 1
0dfb136c 0a400000 0003accc 00000000 1 0 1
0df766a0 0a400000 0003accc 00000000 1 0 1
0df3b9d4 0a400000 0003accc 00000000 1 0 1
0df00d08 0a400000 0003accc 00000000 1 0 1
0dec603c 0a400000 0003accc 00000000 1 0 1
0de8b370 0a400000 0003accc 00000000 1 0 1
0de506a4 0a400000 0003accc 00000000 1 0 1
0de159d8 0a400000 0003accc 00000000 1 0 1
0dddad0c 0a400000 0003accc 00000000 1 0 1
0dda0040 0a400000 0003accc 00000000 1 0 1
0dd65374 0a400000 0003accc 00000000 1 0 1
0dd2a6a8 0a400000 0003accc 00000000 1 0 1
0dcef9dc 0a400000 0003accc 00000000 1 0 1
0dcb4d10 0a400000 0003accc 00000000 1 0 1
0dc7a044 0a400000 0003accc 00000000 1 0 1
0dc3f378 0a400000 0003accc 00000000 1 0 1
0dc046ac 0a400000 0003accc 00000000 1 0 1
0dbc99e0 0a400000 0003accc 00000000 1 0 1
0db8ed14 0a400000 0003accc 00000000 1 0 1
0db54048 0a400000 0003accc 00000000 1 0 1
0db1937c 0a400000 0003accc 00000000 1 0 1
0dade6b0 0a400000 0003accc 00000000 1 0 1
0daa39e4 0a400000 0003accc 00000000 1 0 1
0da68d18 0a400000 0003accc 00000000 1 0 1
0da2e04c 0a400000 0003accc 00000000 1 0 1
0d9f3380 0a400000 0003accc 00000000 1 0 1
0d9b86b4 0a400000 0003accc 00000000 1 0 1
0d97d9e8 0a400000 0003accc 00000000 1 0 1
0d942d1c 0a400000 0003accc 00000000 1 0 1
0d908050 0a400000 0003accc 00000000 1 0 1
0d8cd384 0a400000 0003accc 00000000 1 0 1
0d8926b8 0a400000 0003accc 00000000 1 0 1
0d8579ec 0a400000 0003accc 00000000 1 0 1
0d81cd20 0a400000 0003accc 00000000 1 0 1
0d7e2054 0a400000 0003accc 00000000 1 0 1
0d7a7388 0a400000 0003accc 00000000 1 0 1
0d76c6bc 0a400000 0003accc 00000000 1 0 1
0d7319f0 0a400000 0003accc 00000000 1 0 1
0d6f6d24 0a400000 0003accc 00000000 1 0 1
0d6bc058 0a400000 0003accc 00000000 1 0 1
0d68138c 0a400000 0003accc 00000000 1 0 1
0d6466c0 0a400000 0003accc 00000000 1 0 1
0d60b9f4 0a400000 0003accc 00000000 1 0 1
0d5d0d28 0a400000 0003accc 00000000 1 0 1
0d59605c 0a400000 0003accc 00000000 1 0 1
